Element;N612-1;N612-2;N612-3;N610-1;Bonn-259B-Notho-1;Bonn-259B-Notho-2;Bonn-259B-Notho-3;3036-Gyro-4;3036-Gyro-5;N612-4;N610-2;2024-60-Acr-6;2024-60-Acr-7;2024-60-Acr-8;2024-60-Acr-9;2024-60-Acr-10;N612-5;N610-3;2024-60-Acr-11;2024-60-Acr-12;2024-60-Acr-13;2024-60-Acr-14;2024-60-Acr-15;2024-60-Acr-16;N612-6;N610-4;Bonn-606-Colo-17;Bonn-606-Colo-18;Bonn-606-Colo-19;Bonn-606-Colo-20;Bonn-606-Colo-21;2024-129-Notho-22;N612-7;N610-5;2024-129-Notho-23;2024-129-Notho-24;2024-129-Notho-25;2024-129-Notho-26;2024-129-Notho-27;177-L45-Saur-28;177-L45-Saur-29;177-L45-Saur-30;2024-34-Acr-31;N612-8;N612-9;N610-6;2024-34-Acr-32;2024-34-Acr-33;2024-34-Acr-34;2024-34-Acr-35;2024-34-Acr-36;3329-Saur-37;3329-Saur-38;3329-Saur-39;3329-Saur-40;N612-10;N612-11;N610-7;3329-Saur-41;3329-Saur-42;3329-Saur-43;3329-L29-Acr-44;3329-L29-Acr-45;3329-L29-Acr-46;3329-L29-Acr-47;3329-L29-Acr-48;3329-L29-Acr-49;3329-L29-Acr-50;3329-L29-Acr-51;N610-8;N610-9;N612-12;N612-13;N612-14;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
Ca43;85262.51;85262.51;85262.51;81475.91;285880.38;285880.38;285880.38;285880.38;285880.38;85262.52;81475.91;285880.38;285880.41;285880.41;285880.41;285880.41;85262.52;81475.91;285880.38;285880.41;285880.38;285880.41;285880.41;285880.41;85262.52;81475.91;285880.41;285880.41;285880.41;285880.41;285880.41;285880.41;85262.51;81475.91;285880.41;285880.41;285880.41;285880.41;285880.41;285880.41;285880.41;285880.44;285880.41;85262.52;85262.52;81475.92;285880.44;285880.41;285880.41;285880.44;285880.44;285880.41;285880.44;285880.44;285880.41;85262.52;85262.53;81475.92;285880.44;285880.44;285880.44;285880.44;285880.44;285880.44;285880.44;285880.44;285880.44;285880.44;285880.44;81475.92;81475.92;85262.53;85262.53;85262.53;85262.53;85262.53;85262.52;81475.92;285880.44;285880.44;285880.44;285880.44;285880.44;85262.53;81475.92;285880.44;285880.44;285880.44;85262.52;81475.92;285880.44;285880.47;285880.47;285880.44;285880.44;285880.44;81475.93;81475.93;85262.52;85262.52;85262.52
Ca44;75415.93;84495.38;88826.3;82612.47;203331.81;207448.23;226370.92;178191.19;195131.55;96624.61;83132.48;234543.56;220735.66;220875.61;226650.92;221967.95;92994.23;81516.22;219735.78;215050.06;223430.16;214584.3;217956.17;226380.41;86637.48;77728;219136.39;238941.38;244436.72;226717.81;224112.61;216997.81;82882.35;75656.74;213002.77;219518.95;211899.64;207010.97;217048.3;213761.8;198085.3;202673.56;208497.64;88840.78;82930.13;78059.83;204153.55;208819.42;215974.86;207496.41;221410.84;172539.61;169332.72;165834.92;173196.97;86604.3;87307.19;70806.48;169696.17;170628.5;188251.5;170042.73;169038.08;167999.05;170392.44;162898.83;165820.39;188919.56;179860.25;74125.85;70924.68;86527.52;82065.55;81826.59;84616.98;88789.02;89705.04;85735.41;266013.31;258734.64;267595.38;250103.58;276280.53;79038.57;73165.37;290868.13;355396.69;299836.72;79625.77;75472.35;301491.81;311607.25;289859.66;340252.38;341511.16;302429.16;75859.42;80617.66;83642.59;88887.14;88964.51
Cr52;40.69;39.71;38.79;461.76;3.7;2.12;3.16;3.92;1.89;40.59;447.06;4.6;2.02;1.95;1.91;1.92;39.53;470.59;3.72;1.89;2.07;2.21;1.85;1.87;40.14;451.7;2.09;1.83;1.75;1.82;2.25;5.64;40.13;442.53;3.45;5.33;1.97;1.98;1.97;12.51;7.64;15.38;2.23;39.14;40.12;459.57;2.65;1.93;1.95;1.99;1.87;3.82;5.16;5.94;6.05;38.92;40.41;472.75;4.02;4.17;6.2;3.29;6.34;5.14;2.23;2.84;2.92;1.57;1.52;476.57;467.8;40.39;40.12;39.6;38.1;37.72;40.26;489.65;4.52;4.03;4.31;7.02;3.82;44.34;498.97;3.13;2.28;2.73;44.34;497.22;2.74;2.64;3.42;4.33;2.33;4.44;486.45;467.84;38.19;38.88;38.79
Ni60;40.03;36.73;39.25;466.71;10.17;9.49;8.75;8.78;8.64;35.86;451.19;9.24;9.47;9.07;8.82;8.7;40.68;456.18;9.76;9.4;10.21;302.19;9.39;9.09;38.37;447.56;18.33;9.77;9.43;9.49;8.61;12.03;36.84;447.31;10.58;13.27;10.43;10.8;10.8;70.46;41.92;69.54;13.05;36.47;39.55;449.77;14.06;11.33;11.27;20.02;11.15;13.08;21.86;10.53;13.78;37.18;39.11;448.61;14.93;12.14;80.35;11.46;12.33;12.08;12.96;15.78;16.95;9.15;8.93;455.75;444.69;38.78;38.23;40.13;37.46;37.74;39.51;435.62;8.76;10.6;8.8;8.63;7.92;39.92;439.07;41.64;8.98;7.13;37.82;445.6;7.13;7.32;10.07;7.16;7.35;6.97;465.07;464.91;34.04;39.63;40.66
Cu63;36.84;37.74;36.96;493.16;2.32;1.44;7.35;102.69;82.14;37.44;480.76;2.09;0.95;1.88;2.16;0.98;36.81;467.35;1.13;0.91;19.31;2.36;1.35;0.75;36.2;472.79;2.52;2.66;1.85;1.01;1.91;2.85;34.55;480.36;2.02;4.91;1.19;2.26;2.98;5.32;14.67;6.63;0.89;35.95;36.2;491.61;2.25;0.84;0.86;0.89;1.72;35.4;35.21;40.28;42.72;35.64;37.06;453.15;26.95;23.02;59.83;12.71;24.22;75.41;25.67;23.22;29.31;7.64;9.09;454.4;447.25;37.31;37.02;38.26;29.88;37.22;39.48;436.72;4.48;4.05;6.24;4.22;3.74;37.93;433.3;9.03;1.98;2.48;37.86;438.38;2.48;3.89;3.05;2.18;2.2;2.04;447.28;429.5;36.6;37.17;35.34
Zn66;39.42;38.08;37.12;476.89;44.93;51.31;47.5;518.72;373.88;41.19;462.65;34.82;40.96;39.57;34.47;33.28;36.87;459.73;40.47;26.08;49.6;50.95;34.84;57.61;35.98;460.85;38.84;43.33;58.57;40.46;40.46;29.23;36.54;462.91;35.21;31.07;27.35;18.43;32.41;93.73;44.41;33.27;32.16;35.11;38.31;453.75;22.39;26.26;86.45;26.68;36.09;544.18;535.81;444.28;643.49;36.48;38.4;449.68;515.49;514.74;817.98;160.54;183.96;166.29;196.45;176.15;167.32;192.24;182.27;457.9;445.64;39.04;39.06;39.24;36.05;38.27;37.65;490.54;64.77;31.66;41.2;28.11;35.23;39.71;488.99;52.07;52.15;135.71;40.02;488.46;62.63;40.12;42.81;28.38;32.32;144.03;458.5;488.05;35.61;39.89;36.55
As75;37.16;40.73;37.07;319.48;10.5;8.43;22.88;167.22;175.13;37.59;281.75;7.65;7.94;7.57;8.93;14.01;36.04;357.76;8.35;7.71;56.78;9.98;13.07;10.02;32.27;304.27;30.52;15.91;12.35;8.58;19.35;34.02;37.64;274.46;30.9;19.38;9.28;10.74;16.91;116.71;35.51;69.91;11.68;37.77;41.29;293.78;15.01;10.04;10.4;9.86;9.85;140.43;113.53;133.51;221.73;36.74;36.39;358.28;118.84;126.17;275.36;34.29;10.77;11.43;23.5;13.73;15.22;12.1;7.97;363.45;366.85;41.49;34.68;36.44;37.62;31.05;39.22;382.96;9.53;9.05;9.72;9.87;10.82;45.82;417.82;13.06;12.99;9.19;45.53;393.12;7.84;14.5;9.49;15.13;19.18;68.08;367.19;346.75;36.41;36.75;32.6
Sr87;74.77;79.44;76.99;865.4;1904.39;1789.4;2103.63;344.76;349.74;78.21;851.13;1303.39;1337.08;1387.5;1422.58;1328.08;75.18;853.68;1325.66;1206.23;1419.37;1328.85;1208.95;1429.96;74.84;848.83;2269.22;2314.51;2395.96;2494.2;2481.27;2503.92;74.1;843.69;1637.79;1572.74;1758.45;1820.32;1765.31;1264.07;788.67;1333.25;1174.35;74.6;76.71;863.36;1328.58;1262.18;1201.54;1190.91;1206.64;320.93;337.38;315.04;306.27;74.61;75.43;844.22;350.07;342.36;241.29;726;801.73;773.83;767.2;739.91;738.73;693.48;676.15;851.72;844.99;76.72;75.87;79.84;79.69;76.73;74.95;797.67;2308.52;2344.91;2386.58;1988.02;2167.01;71.28;808.82;2202.68;2172.5;2226.02;76.2;864.9;2332.51;2290.95;2660.36;2587.82;2641.45;2479.65;879.4;928.41;76.99;79.48;74.71
Sr88;75.42;77.71;76.77;569.6;5749.98;5379.53;6767.8;923.07;951.45;78;557.96;3771.45;3736.9;4119.58;4210.41;4056.3;75.71;563.54;3774.49;3473.66;4077.21;3846.94;3662;4044.58;74.89;565.9;7286.93;8086.61;8685.45;9752.91;10168.8;7717.93;75.26;548.2;5042.73;4948.84;4919.63;4954.33;5319.37;3365.77;2077.45;3503.33;3376.11;73.98;76.69;562.03;3845.9;3694.07;3570.35;3408.64;3529.79;865.02;909.45;868.82;826.33;74.34;76.36;565.85;889.18;927.76;657.23;2026.93;2200.62;2169.89;2097.41;1967.6;1959.92;2010.15;1987.11;566.44;559.38;76.99;77.47;77.04;77.7;73.97;79.38;535.67;7513.82;7448.84;7091.41;6020.88;6787.16;72.53;519.1;6905.7;8125.69;7142.94;75.46;546.68;7524.37;7694.92;8302;9028.94;9161.92;8024.61;539.62;541.39;75.26;77.38;77.48
Cd111;28.93;29.87;29.77;273.84;5.04;7.24;3.59;8.91;9.61;29.46;259.87;5.07;4.16;2.43;3.19;3.44;27.14;261.97;4.82;2.96;3.64;4.33;5.07;4.13;25.67;256.54;4.39;5.13;3.92;8.27;8.48;5.91;26.03;240.78;2.9;3.76;6.12;7.15;3.91;5.64;2.22;0;3.11;27.85;27.55;263.66;4.11;3.55;2.02;3.03;4.01;33.69;43.38;39.31;44.85;25.8;30.02;263.26;38.39;37.93;80;6.31;8.39;6.11;10.16;8.08;7.91;3.54;6.19;263.28;261.46;28.62;28.33;32.18;26.9;26.49;30.18;237.53;7.28;8.06;9.74;6.46;6.06;30.53;302.09;8.78;9.37;7.15;30.05;303.13;6.42;9.93;13.3;7.36;9.28;11.97;259.51;289.74;28.36;30.56;25.19
