GLITTER4.5: Laser Ablation Analysis Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C:\Element\user\Administrator\data\250605 Marijn Apetite 2\250605 Marijn Apetite 2.FIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Created: Thu Jun 05 18:07:32 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All values are reported in ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLITTER!: Trace Element Concentrations MDL filtered.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-6;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
Cu63;29.88;37.22;39.48;436.72;-0.33;1.78;6.24;<-1.00;-0.13;37.93;433.3;73.42;9.03;-0.46;1.1;37.86;438.38;<-1.00;3.89;0.64;0.41;-0.5;0.67;447.28;429.5;36.6;37.17;35.34
Zn66;36.05;38.27;37.65;490.54;64.77;31.66;41.2;28.11;35.23;39.71;488.99;157.06;52.07;52.15;135.71;40.02;488.46;62.63;40.12;42.81;28.38;32.32;144.03;458.5;488.05;35.61;39.89;36.55
As75;37.62;31.05;39.22;382.96;6.01;6.02;9.49;9.87;<-1.00;45.82;417.82;58.71;13.06;12.99;9.19;45.53;393.12;4.86;14.5;2.22;15.13;19.18;68.08;367.19;346.75;36.41;36.75;32.6
Sr87;79.69;76.73;74.95;797.67;2308.52;2344.91;2386.58;1988.02;2167.01;71.28;808.82;3898.83;2202.68;2172.5;2226.02;76.2;864.9;2332.51;2290.95;2660.36;2587.82;2641.45;2479.65;879.4;928.41;76.99;79.48;74.71
Sr88;77.7;73.97;79.38;535.67;7513.82;7448.84;7091.41;6020.88;6787.16;72.53;519.1;14814.01;6905.7;8125.69;7142.94;75.46;546.68;7524.37;7694.92;8302;9028.94;9161.92;8024.61;539.62;541.39;75.26;77.38;77.48
Cd111;26.9;26.49;30.18;237.53;7.28;8.06;9.74;6.46;6.06;30.53;302.09;18.24;8.78;9.37;7.15;30.05;303.13;6.42;9.93;13.3;7.36;9.28;11.97;259.51;289.74;28.36;30.56;25.19
Ba137;38.27;36;38.2;427.57;34.68;27.5;36.2;27.74;30.58;38.56;430.65;62.67;35.43;30.38;32.26;38.74;436.04;33.69;31.58;38.55;33.91;38.9;40.02;450.7;455.47;37.66;38.3;36.59
Ba138;38.52;37.11;37.74;486.76;32.33;32.49;33.35;30.64;35.35;37.2;474.64;62.36;35.25;31.5;35.23;38.08;491.14;34.03;34.15;41.54;36.94;37.14;36.75;493.19;487.44;38.68;37.43;37.33
Pb208;39.78;37.16;39.2;492.79;3.01;1.51;2.68;2.09;1.77;39.49;482.94;16.43;2.4;1.83;2.58;40.51;495.13;2.65;2.74;5.73;2.44;2.8;2.84;501.86;499.13;40.66;38.33;37.39
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLITTER!: 1 sigma error.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-6;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
Ca43;2789.23;2788.87;2781.26;2673.38;9569.43;9609.44;9660.63;9659.08;9570.73;2804.76;2692.92;9670.7;9513.92;9416.77;9509.19;2819.46;2719.35;9501.84;9477.75;9696.69;9481.32;9443.18;9469.29;2719.5;2733.59;2829.18;2825.69;2814.47
Ca44;6448.74;6813.17;6949.33;6729.89;21244.93;21045.27;22223.42;21244.94;24033.46;7050.32;6714.36;27488.29;28354.09;35730.07;31151.42;8546.96;8379.89;34615.85;37009.19;35653.65;43266.58;44929.14;41170.88;10686.37;11748.21;12601.45;13845.38;14322.75
Cr52;3.8;3.75;4;48.4;2.14;2.01;2.16;2.21;1.86;4.8;54.73;2.44;1.54;1.15;1.37;5.5;62.94;1.36;1.31;1.74;1.33;1.15;1.33;73.14;72.03;6.04;6.29;6.41
Ni60;2.92;2.91;3.03;31.93;4.12;4.15;4.49;4.36;3.95;3.48;37.09;10.61;5.71;3.07;3.56;3.92;44.91;3.62;3.63;5.07;3.64;3.57;3.49;57.94;59.67;4.72;5.56;5.84
Cu63;3.44;4.2;4.46;49.08;2.11;2.05;2.29;2.2;1.82;4.7;54.34;9.71;1.88;1;1.27;5.39;63.57;1.23;1.36;1.56;1.09;1.07;1.04;77.86;76.72;6.73;7.01;6.83
Zn66;3.28;3.4;3.31;39.39;7.63;5.26;6.24;5.54;5.37;3.73;42.49;15.74;6.49;6.04;13.95;4.14;47.73;7.55;5.45;6.63;4.49;4.9;16.9;51.96;56.49;4.49;5.06;4.73
As75;8.17;6.67;8.29;79.74;4.78;4.82;5.4;5.41;5.92;10.07;92.23;14.45;5.28;4.31;4.28;11.14;97.2;4.16;5.22;4.87;5.37;6.23;19.34;103.83;99.83;10.76;11.04;9.95
Sr87;4.66;4.5;4.41;46.51;136.68;140.76;145.59;123.48;136.86;4.68;53.17;263.25;152.24;153.79;162.01;5.79;66.42;184.1;185.83;222.37;221.83;232.68;224.6;81.89;88.86;7.64;8.09;7.8
Sr88;4.09;3.89;4.18;28.31;401.59;402.58;388.48;334.64;382.73;4.18;30.33;886.12;420.98;505.73;455.53;4.95;36.59;515.31;539.78;598.25;665.01;691.14;620.36;42.78;43.97;6.27;6.6;6.75
Cd111;3.44;3.38;3.76;27.54;2.1;2.28;2.51;2.49;1.77;4.09;38;3.94;2.15;2.17;1.9;4.51;43.35;1.85;2.39;3.26;1.94;2.34;2.76;43.2;49.23;5.17;5.63;4.74
Ba137;1.9;1.8;1.9;20.65;2.14;1.84;2.32;1.91;2;2.09;22.86;3.89;2.33;2.01;2.22;2.37;26.34;2.4;2.29;2.94;2.54;2.9;3.05;32.06;33.19;2.88;2.99;2.91
Ba138;1.46;1.4;1.43;18.34;1.33;1.35;1.4;1.31;1.48;1.48;18.93;2.64;1.52;1.37;1.56;1.64;21.32;1.57;1.59;2;1.77;1.8;1.82;24.01;24.18;1.96;1.93;1.96
Pb208;2.22;2.07;2.19;27.51;0.23;0.14;0.22;0.19;0.16;2.4;29.72;1.11;0.2;0.16;0.22;2.79;34.81;0.24;0.24;0.49;0.23;0.26;0.27;41.56;42.3;3.53;3.4;3.39
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLITTER!: Minimum detection limits (99% confidence).;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-6;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
Ca43;462.76;344.12;347.62;366.16;1899.53;1741.8;1909.46;1802.51;1738.17;331.65;382.63;1885.57;1497.94;1097.68;1359.13;357.56;412.5;1345.67;1407.7;1793.14;1326.17;1288.67;1236.36;450.01;424.9;375.34;364.31;348.84
Ca44;116.12;95.53;105.86;124.51;777.07;723.34;794.95;782.55;737.4;144.54;151.59;853.42;707.18;503.71;630.03;169.72;176.6;601.43;646.37;860.54;629.91;633.2;609.99;220.55;186.73;173.15;166.73;163.86
Cr52;0.828;0.658;0.698;0.788;4.52;4.03;4.31;4.05;3.82;0.705;0.781;3.75;3.13;2.17;2.73;0.641;0.73;2.74;2.64;3.42;2.3;2.33;2.23;0.756;0.7;0.652;0.619;0.592
Ni60;1.99;1.49;1.51;1.64;8.76;7.93;8.8;8.63;7.92;1.68;1.98;9.85;8.2;5.66;7.13;2.02;2.38;7.13;7.32;10.07;7.16;7.35;6.97;2.56;2.54;2.33;2.18;2.1
Cu63;1.8;1.21;1.2;1.25;4.48;4.05;4.26;4.22;3.74;0.764;0.92;3.44;2.81;1.98;2.48;0.675;0.887;2.48;2.42;3.05;2.18;2.2;2.04;0.761;0.793;0.667;0.64;0.618
Zn66;2.14;1.52;1.4;1.46;8.35;7.12;8.01;8.26;6.98;1.36;1.6;7.14;6.18;4.22;4.6;1.26;1.19;4.56;4.72;6.79;4.7;5.02;4.59;1.61;1.34;1.41;1.2;1.28
As75;1.26;1.07;1.05;1.31;9.53;9.05;9.72;9.51;10.82;1.74;2.07;10.19;8.53;5.55;6.96;1.9;2.26;7.84;6.98;9.49;6.53;6.3;6;2.29;2.34;1.94;1.9;1.71
Sr87;0.354;0.198;0.206;0.197;1.33;1.07;0.883;1.06;1.17;0.207;0.23;1.31;0.963;0.68;0.756;0.253;0.261;0.913;0.628;1.05;0.92;0.924;0.799;0.281;0.282;0.251;0.275;0.235
Sr88;0.113;0.0847;0.1;0.104;0.656;0.565;0.683;0.651;0.634;0.118;0.143;0.718;0.579;0.437;0.518;0.153;0.174;0.566;0.523;0.786;0.534;0.556;0.522;0.194;0.186;0.167;0.156;0.151
